I;II;III;IV;V;Punkty;Liczba;as;b≥Ídy zagrywka;Asy na set;liczba;b≥Ídy przyjÍcie;Neg;Poz;poz%;Perf;perf%;liczba1;b≥Ídy atak;blok;Perf1;% perf;pkt;Pkt na set;Nazwisko;Klub;Klucz;Data spotkania;Sezon;Faza;Kolejka
;;*;;;1;3;0;0;0,00;0;0;0;0;-;0;-;2;0;0;1;50%;0;0,00;7 Justyna £ukasik ;Chemik Police;12.12.2018KSZO Ostrowiec-0:3-Chemik Police;12.12.2018, 18:00;2018/2019;zasadnicza;9
6;6;6;;;4;11;1;0;0,33;0;0;0;0;-;0;-;3;0;0;2;67%;1;0,33;8 Marlena Kowalewska ;Chemik Police;12.12.2018KSZO Ostrowiec-0:3-Chemik Police;12.12.2018, 18:00;2018/2019;zasadnicza;9
2;2;2;;;11;15;1;0;0,33;0;0;0;0;-;0;-;11;0;0;7;64%;3;1,00;9 Iga Wasilewska ;Chemik Police;12.12.2018KSZO Ostrowiec-0:3-Chemik Police;12.12.2018, 18:00;2018/2019;zasadnicza;9
4;4;4;;;12;10;1;0;0,33;14;1;4;7;50%;4;29%;22;2;1;11;50%;0;0,00;11 Martyna £ukasik ;Chemik Police;12.12.2018KSZO Ostrowiec-0:3-Chemik Police;12.12.2018, 18:00;2018/2019;zasadnicza;9
5;5;5;;;10;9;2;0;0,67;0;0;0;0;-;0;-;9;0;0;7;78%;1;0,33;12 Chiaka Ogbogu ;Chemik Police;12.12.2018KSZO Ostrowiec-0:3-Chemik Police;12.12.2018, 18:00;2018/2019;zasadnicza;9
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;13 Sladjana MirkoviÊ ;Chemik Police;12.12.2018KSZO Ostrowiec-0:3-Chemik Police;12.12.2018, 18:00;2018/2019;zasadnicza;9
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;14 Natalia MÍdrzyk ;Chemik Police;12.12.2018KSZO Ostrowiec-0:3-Chemik Police;12.12.2018, 18:00;2018/2019;zasadnicza;9
*;*;*;;;0;0;0;0;0,00;10;0;2;6;60%;3;30%;0;0;0;0;0%;0;0,00;17 Aleksandra Krzos (L);Chemik Police;12.12.2018KSZO Ostrowiec-0:3-Chemik Police;12.12.2018, 18:00;2018/2019;zasadnicza;9
5;4;;*;;4;3;1;0;0,33;19;2;10;7;37%;3;16%;15;0;2;3;20%;0;0,00;1 Roksana Wers ;#VolleyWroc≥aw;12.12.2018#VolleyWroc≥aw-1:3-Bank Pocztowy Pa≥ac Bydgoszcz;12.12.2018, 18:00;2018/2019;zasadnicza;9
;*;5;4;;5;8;0;2;0,00;25;1;9;13;52%;9;36%;13;1;0;4;31%;1;0,33;4 Karolina Piúla ;#VolleyWroc≥aw;12.12.2018#VolleyWroc≥aw-1:3-Bank Pocztowy Pa≥ac Bydgoszcz;12.12.2018, 18:00;2018/2019;zasadnicza;9
;*;6;5;;4;8;1;0;0,33;0;0;0;0;-;0;-;7;0;0;3;43%;0;0,00;5 Aleksandra Gancarz ;#VolleyWroc≥aw;12.12.2018#VolleyWroc≥aw-1:3-Bank Pocztowy Pa≥ac Bydgoszcz;12.12.2018, 18:00;2018/2019;zasadnicza;9
4;3;4;3;;18;11;0;3;0,00;0;0;0;0;-;0;-;41;4;3;15;37%;3;0,75;6 Aleksandra RasiÒska ;#VolleyWroc≥aw;12.12.2018#VolleyWroc≥aw-1:3-Bank Pocztowy Pa≥ac Bydgoszcz;12.12.2018, 18:00;2018/2019;zasadnicza;9
;*;;;;0;1;0;1;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;7 Weronika Wo≥odko ;#VolleyWroc≥aw;12.12.2018#VolleyWroc≥aw-1:3-Bank Pocztowy Pa≥ac Bydgoszcz;12.12.2018, 18:00;2018/2019;zasadnicza;9
6;5;3;2;;13;11;1;2;0,25;0;0;0;0;-;0;-;24;3;1;11;46%;1;0,25;8 Magdalena Soter ;#VolleyWroc≥aw;12.12.2018#VolleyWroc≥aw-1:3-Bank Pocztowy Pa≥ac Bydgoszcz;12.12.2018, 18:00;2018/2019;zasadnicza;9
2;1;2;1;;21;21;3;3;0,75;31;2;11;15;48%;7;23%;41;2;2;18;44%;0;0,00;9 Natalia Murek ;#VolleyWroc≥aw;12.12.2018#VolleyWroc≥aw-1:3-Bank Pocztowy Pa≥ac Bydgoszcz;12.12.2018, 18:00;2018/2019;zasadnicza;9
*;*;*;*;;0;0;0;0;0,00;13;1;5;6;46%;2;15%;0;0;0;0;0%;0;0,00;12 Magdalena Dzikowicz (L);#VolleyWroc≥aw;12.12.2018#VolleyWroc≥aw-1:3-Bank Pocztowy Pa≥ac Bydgoszcz;12.12.2018, 18:00;2018/2019;zasadnicza;9
1;6;1;6;;3;15;0;1;0,00;1;1;0;0;0%;0;0%;2;0;0;1;50%;2;0,50;13 Natalia Gajewska ;#VolleyWroc≥aw;12.12.2018#VolleyWroc≥aw-1:3-Bank Pocztowy Pa≥ac Bydgoszcz;12.12.2018, 18:00;2018/2019;zasadnicza;9
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;15 Karolina Pancewicz (L);#VolleyWroc≥aw;12.12.2018#VolleyWroc≥aw-1:3-Bank Pocztowy Pa≥ac Bydgoszcz;12.12.2018, 18:00;2018/2019;zasadnicza;9
3;2;;;;2;6;0;1;0,00;0;0;0;0;-;0;-;1;0;0;0;0%;2;1,00;17 Anna £ozowska ;#VolleyWroc≥aw;12.12.2018#VolleyWroc≥aw-1:3-Bank Pocztowy Pa≥ac Bydgoszcz;12.12.2018, 18:00;2018/2019;zasadnicza;9
1;1;1;1;;14;15;2;2;0,50;27;2;11;10;37%;6;22%;34;1;3;11;32%;1;0,25;1 Patrycja Balmas ;Bank Pocztowy Pa≥ac Bydgoszcz;12.12.2018#VolleyWroc≥aw-1:3-Bank Pocztowy Pa≥ac Bydgoszcz;12.12.2018, 18:00;2018/2019;zasadnicza;9
*;*;*;*;;0;0;0;0;0,00;20;2;8;6;30%;4;20%;0;0;0;0;0%;0;0,00;3 Monika Jag≥a (L);Bank Pocztowy Pa≥ac Bydgoszcz;12.12.2018#VolleyWroc≥aw-1:3-Bank Pocztowy Pa≥ac Bydgoszcz;12.12.2018, 18:00;2018/2019;zasadnicza;9
2;2;2;2;;7;22;2;0;0,50;0;0;0;0;-;0;-;8;0;1;5;62%;0;0,00;4 Marta Pol ;Bank Pocztowy Pa≥ac Bydgoszcz;12.12.2018#VolleyWroc≥aw-1:3-Bank Pocztowy Pa≥ac Bydgoszcz;12.12.2018, 18:00;2018/2019;zasadnicza;9
5;5;5;5;;6;11;0;0;0,00;0;0;0;0;-;0;-;14;1;1;5;36%;1;0,25;5 Natalia Misiuna ;Bank Pocztowy Pa≥ac Bydgoszcz;12.12.2018#VolleyWroc≥aw-1:3-Bank Pocztowy Pa≥ac Bydgoszcz;12.12.2018, 18:00;2018/2019;zasadnicza;9
6;6;6;6;;3;14;1;0;0,25;2;1;1;0;0%;0;0%;3;0;0;0;0%;2;0,50;7 Magdalena Mazurek ;Bank Pocztowy Pa≥ac Bydgoszcz;12.12.2018#VolleyWroc≥aw-1:3-Bank Pocztowy Pa≥ac Bydgoszcz;12.12.2018, 18:00;2018/2019;zasadnicza;9
4;4;4;4;;21;12;1;1;0,25;21;1;11;6;29%;4;19%;45;1;3;18;40%;2;0,50;8 Ewelina Øurowska ;Bank Pocztowy Pa≥ac Bydgoszcz;12.12.2018#VolleyWroc≥aw-1:3-Bank Pocztowy Pa≥ac Bydgoszcz;12.12.2018, 18:00;2018/2019;zasadnicza;9
3;3;3;3;;10;16;1;0;0,25;0;0;0;0;-;0;-;25;3;1;7;28%;2;0,50;9 Tamara Ga≥ucha ;Bank Pocztowy Pa≥ac Bydgoszcz;12.12.2018#VolleyWroc≥aw-1:3-Bank Pocztowy Pa≥ac Bydgoszcz;12.12.2018, 18:00;2018/2019;zasadnicza;9
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;10 Joanna Kuligowska ;Bank Pocztowy Pa≥ac Bydgoszcz;12.12.2018#VolleyWroc≥aw-1:3-Bank Pocztowy Pa≥ac Bydgoszcz;12.12.2018, 18:00;2018/2019;zasadnicza;9
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;13 Kinga RÛøyÒska ;Bank Pocztowy Pa≥ac Bydgoszcz;12.12.2018#VolleyWroc≥aw-1:3-Bank Pocztowy Pa≥ac Bydgoszcz;12.12.2018, 18:00;2018/2019;zasadnicza;9
;;*;;;1;2;0;0;0,00;1;0;1;0;0%;0;0%;3;1;0;1;33%;0;0,00;14 Monika Fedusio ;Bank Pocztowy Pa≥ac Bydgoszcz;12.12.2018#VolleyWroc≥aw-1:3-Bank Pocztowy Pa≥ac Bydgoszcz;12.12.2018, 18:00;2018/2019;zasadnicza;9
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;16 Ma≥gorzata Andersohn ;Bank Pocztowy Pa≥ac Bydgoszcz;12.12.2018#VolleyWroc≥aw-1:3-Bank Pocztowy Pa≥ac Bydgoszcz;12.12.2018, 18:00;2018/2019;zasadnicza;9
5;5;5;5;5;13;16;2;2;0,40;0;0;0;0;-;0;-;16;1;1;9;56%;2;0,40;1 Ma≥gorzata Jasek ;DPD Legionovia Legionowo;15.12.2018DPD Legionovia Legionowo-3:2-Bank Pocztowy Pa≥ac Bydgoszcz;15.12.2018, 18:00;2018/2019;zasadnicza;10
1;1;1;4;4;8;14;0;0;0,00;22;1;9;7;32%;5;23%;31;1;2;6;19%;2;0,40;2 Beata Olenderek ;DPD Legionovia Legionowo;15.12.2018DPD Legionovia Legionowo-3:2-Bank Pocztowy Pa≥ac Bydgoszcz;15.12.2018, 18:00;2018/2019;zasadnicza;10
3;3;3;6;6;5;18;1;1;0,20;0;0;0;0;-;0;-;4;0;0;1;25%;3;0,60;3 Ewelina Polak ;DPD Legionovia Legionowo;15.12.2018DPD Legionovia Legionowo-3:2-Bank Pocztowy Pa≥ac Bydgoszcz;15.12.2018, 18:00;2018/2019;zasadnicza;10
4;4;4;1;1;18;17;0;0;0,00;38;0;10;15;39%;8;21%;46;3;4;17;37%;1;0,20;4 Zuzanna GÛrecka ;DPD Legionovia Legionowo;15.12.2018DPD Legionovia Legionowo-3:2-Bank Pocztowy Pa≥ac Bydgoszcz;15.12.2018, 18:00;2018/2019;zasadnicza;10
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;7 Magdalena Damaske-Dawid ;DPD Legionovia Legionowo;15.12.2018DPD Legionovia Legionowo-3:2-Bank Pocztowy Pa≥ac Bydgoszcz;15.12.2018, 18:00;2018/2019;zasadnicza;10
2;2;2;;*;3;12;0;0;0,00;0;0;0;0;-;0;-;9;0;0;3;33%;0;0,00;8 Ma≥gorzata Skorupa ;DPD Legionovia Legionowo;15.12.2018DPD Legionovia Legionowo-3:2-Bank Pocztowy Pa≥ac Bydgoszcz;15.12.2018, 18:00;2018/2019;zasadnicza;10
;*;*;2;2;2;12;1;3;0,25;0;0;0;0;-;0;-;2;0;0;1;50%;0;0,00;9 Alicja WÛjcik ;DPD Legionovia Legionowo;15.12.2018DPD Legionovia Legionowo-3:2-Bank Pocztowy Pa≥ac Bydgoszcz;15.12.2018, 18:00;2018/2019;zasadnicza;10
*;*;*;*;*;0;0;0;0;0,00;5;2;0;2;40%;1;20%;0;0;0;0;0%;0;0,00;10 Agnieszka Adamek (L);DPD Legionovia Legionowo;15.12.2018DPD Legionovia Legionowo-3:2-Bank Pocztowy Pa≥ac Bydgoszcz;15.12.2018, 18:00;2018/2019;zasadnicza;10
*;*;*;*;*;0;0;0;0;0,00;26;3;6;11;42%;7;27%;0;0;0;0;0%;0;0,00;13 Adriana Adamek (L);DPD Legionovia Legionowo;15.12.2018DPD Legionovia Legionowo-3:2-Bank Pocztowy Pa≥ac Bydgoszcz;15.12.2018, 18:00;2018/2019;zasadnicza;10
6;6;6;3;3;22;11;0;3;0,00;0;0;0;0;-;0;-;41;4;1;12;29%;10;2,00;15 Krystyna Kicka ;DPD Legionovia Legionowo;15.12.2018DPD Legionovia Legionowo-3:2-Bank Pocztowy Pa≥ac Bydgoszcz;15.12.2018, 18:00;2018/2019;zasadnicza;10
;;*;;;0;0;0;0;0,00;0;0;0;0;-;0;-;1;0;0;0;0%;0;0,00;17 Bailey Tanner ;DPD Legionovia Legionowo;15.12.2018DPD Legionovia Legionowo-3:2-Bank Pocztowy Pa≥ac Bydgoszcz;15.12.2018, 18:00;2018/2019;zasadnicza;10
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;18 Aleksandra Gryka ;DPD Legionovia Legionowo;15.12.2018DPD Legionovia Legionowo-3:2-Bank Pocztowy Pa≥ac Bydgoszcz;15.12.2018, 18:00;2018/2019;zasadnicza;10
;;*;*;;1;3;1;0;0,50;0;0;0;0;-;0;-;4;1;0;0;0%;0;0,00;22 Cassidy Pickrell ;DPD Legionovia Legionowo;15.12.2018DPD Legionovia Legionowo-3:2-Bank Pocztowy Pa≥ac Bydgoszcz;15.12.2018, 18:00;2018/2019;zasadnicza;10
1;1;6;1;;10;11;0;2;0,00;9;0;3;5;56%;2;22%;29;3;5;10;34%;0;0,00;1 Patrycja Balmas ;Bank Pocztowy Pa≥ac Bydgoszcz;15.12.2018DPD Legionovia Legionowo-3:2-Bank Pocztowy Pa≥ac Bydgoszcz;15.12.2018, 18:00;2018/2019;zasadnicza;10
*;*;*;*;*;0;0;0;0;0,00;50;4;13;27;54%;16;32%;0;0;0;0;0%;0;0,00;3 Monika Jag≥a (L);Bank Pocztowy Pa≥ac Bydgoszcz;15.12.2018DPD Legionovia Legionowo-3:2-Bank Pocztowy Pa≥ac Bydgoszcz;15.12.2018, 18:00;2018/2019;zasadnicza;10
2;2;1;2;1;12;21;2;3;0,40;0;0;0;0;-;0;-;14;2;1;7;50%;3;0,60;4 Marta Pol ;Bank Pocztowy Pa≥ac Bydgoszcz;15.12.2018DPD Legionovia Legionowo-3:2-Bank Pocztowy Pa≥ac Bydgoszcz;15.12.2018, 18:00;2018/2019;zasadnicza;10
5;5;4;5;4;14;17;1;2;0,20;1;0;0;1;100%;1;100%;17;0;0;12;71%;1;0,20;5 Natalia Misiuna ;Bank Pocztowy Pa≥ac Bydgoszcz;15.12.2018DPD Legionovia Legionowo-3:2-Bank Pocztowy Pa≥ac Bydgoszcz;15.12.2018, 18:00;2018/2019;zasadnicza;10
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;6 Maja Pahor (L);Bank Pocztowy Pa≥ac Bydgoszcz;15.12.2018DPD Legionovia Legionowo-3:2-Bank Pocztowy Pa≥ac Bydgoszcz;15.12.2018, 18:00;2018/2019;zasadnicza;10
6;6;5;6;5;3;12;0;0;0,00;0;0;0;0;-;0;-;4;0;0;3;75%;0;0,00;7 Magdalena Mazurek ;Bank Pocztowy Pa≥ac Bydgoszcz;15.12.2018DPD Legionovia Legionowo-3:2-Bank Pocztowy Pa≥ac Bydgoszcz;15.12.2018, 18:00;2018/2019;zasadnicza;10
4;4;3;4;3;16;13;0;4;0,00;33;1;9;11;33%;7;21%;48;5;7;14;29%;2;0,40;8 Ewelina Øurowska ;Bank Pocztowy Pa≥ac Bydgoszcz;15.12.2018DPD Legionovia Legionowo-3:2-Bank Pocztowy Pa≥ac Bydgoszcz;15.12.2018, 18:00;2018/2019;zasadnicza;10
3;3;2;3;2;18;26;3;2;0,60;0;0;0;0;-;0;-;39;1;3;13;33%;2;0,40;9 Tamara Ga≥ucha ;Bank Pocztowy Pa≥ac Bydgoszcz;15.12.2018DPD Legionovia Legionowo-3:2-Bank Pocztowy Pa≥ac Bydgoszcz;15.12.2018, 18:00;2018/2019;zasadnicza;10
;;;;*;0;1;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;10 Joanna Kuligowska ;Bank Pocztowy Pa≥ac Bydgoszcz;15.12.2018DPD Legionovia Legionowo-3:2-Bank Pocztowy Pa≥ac Bydgoszcz;15.12.2018, 18:00;2018/2019;zasadnicza;10
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;13 Kinga RÛøyÒska ;Bank Pocztowy Pa≥ac Bydgoszcz;15.12.2018DPD Legionovia Legionowo-3:2-Bank Pocztowy Pa≥ac Bydgoszcz;15.12.2018, 18:00;2018/2019;zasadnicza;10
;*;;*;6;9;4;0;1;0,00;1;0;0;1;100%;1;100%;14;0;2;9;64%;0;0,00;14 Monika Fedusio ;Bank Pocztowy Pa≥ac Bydgoszcz;15.12.2018DPD Legionovia Legionowo-3:2-Bank Pocztowy Pa≥ac Bydgoszcz;15.12.2018, 18:00;2018/2019;zasadnicza;10
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;16 Ma≥gorzata Andersohn ;Bank Pocztowy Pa≥ac Bydgoszcz;15.12.2018DPD Legionovia Legionowo-3:2-Bank Pocztowy Pa≥ac Bydgoszcz;15.12.2018, 18:00;2018/2019;zasadnicza;10
1;4;4;;;9;11;1;1;0,33;15;2;1;9;60%;5;33%;23;5;3;5;22%;3;1,00;1 Bianka Busa ;Chemik Police;15.12.2018Chemik Police-3:0-#VolleyWroc≥aw;15.12.2018, 18:00;2018/2019;zasadnicza;10
*;1;1;;;9;12;1;0;0,33;12;1;1;7;58%;4;33%;15;1;0;8;53%;0;0,00;2 Martyna Grajber ;Chemik Police;15.12.2018Chemik Police-3:0-#VolleyWroc≥aw;15.12.2018, 18:00;2018/2019;zasadnicza;10
*;;*;;;10;5;2;1;1,00;0;0;0;0;-;0;-;11;0;2;8;73%;0;0,00;3 Magdalena Stysiak ;Chemik Police;15.12.2018Chemik Police-3:0-#VolleyWroc≥aw;15.12.2018, 18:00;2018/2019;zasadnicza;10
;*;5;;;1;5;1;0;0,50;0;0;0;0;-;0;-;2;0;0;0;0%;0;0,00;6 Agnieszka Bednarek ;Chemik Police;15.12.2018Chemik Police-3:0-#VolleyWroc≥aw;15.12.2018, 18:00;2018/2019;zasadnicza;10
5;5;;;;2;5;0;1;0,00;0;0;0;0;-;0;-;4;0;0;2;50%;0;0,00;7 Justyna £ukasik ;Chemik Police;15.12.2018Chemik Police-3:0-#VolleyWroc≥aw;15.12.2018, 18:00;2018/2019;zasadnicza;10
6;;*;;;0;1;0;1;0,00;1;0;1;0;0%;0;0%;0;0;0;0;0%;0;0,00;8 Marlena Kowalewska ;Chemik Police;15.12.2018Chemik Police-3:0-#VolleyWroc≥aw;15.12.2018, 18:00;2018/2019;zasadnicza;10
2;2;2;;;14;17;2;2;0,67;0;0;0;0;-;0;-;10;0;0;7;70%;5;1,67;9 Iga Wasilewska ;Chemik Police;15.12.2018Chemik Police-3:0-#VolleyWroc≥aw;15.12.2018, 18:00;2018/2019;zasadnicza;10
3;3;3;;;13;9;0;2;0,00;0;0;0;0;-;0;-;23;3;0;12;52%;1;0,33;11 Martyna £ukasik ;Chemik Police;15.12.2018Chemik Police-3:0-#VolleyWroc≥aw;15.12.2018, 18:00;2018/2019;zasadnicza;10
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;12 Chiaka Ogbogu ;Chemik Police;15.12.2018Chemik Police-3:0-#VolleyWroc≥aw;15.12.2018, 18:00;2018/2019;zasadnicza;10
*;6;6;;;1;9;0;0;0,00;1;0;1;0;0%;0;0%;2;0;0;1;50%;0;0,00;13 Sladjana MirkoviÊ ;Chemik Police;15.12.2018Chemik Police-3:0-#VolleyWroc≥aw;15.12.2018, 18:00;2018/2019;zasadnicza;10
4;;;;;0;1;0;0;0,00;8;0;3;2;25%;1;13%;3;1;0;0;0%;0;0,00;14 Natalia MÍdrzyk ;Chemik Police;15.12.2018Chemik Police-3:0-#VolleyWroc≥aw;15.12.2018, 18:00;2018/2019;zasadnicza;10
*;*;*;;;0;0;0;0;0,00;14;1;3;6;43%;2;14%;0;0;0;0;0%;0;0,00;17 Aleksandra Krzos (L);Chemik Police;15.12.2018Chemik Police-3:0-#VolleyWroc≥aw;15.12.2018, 18:00;2018/2019;zasadnicza;10
4;3;4;;;10;10;0;3;0,00;25;3;8;11;44%;5;20%;25;1;1;9;36%;1;0,33;1 Roksana Wers ;#VolleyWroc≥aw;15.12.2018Chemik Police-3:0-#VolleyWroc≥aw;15.12.2018, 18:00;2018/2019;zasadnicza;10
;*;*;;;0;1;0;0;0,00;4;0;2;1;25%;1;25%;0;0;0;0;0%;0;0,00;4 Karolina Piúla ;#VolleyWroc≥aw;15.12.2018Chemik Police-3:0-#VolleyWroc≥aw;15.12.2018, 18:00;2018/2019;zasadnicza;10
*;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;5 Aleksandra Gancarz ;#VolleyWroc≥aw;15.12.2018Chemik Police-3:0-#VolleyWroc≥aw;15.12.2018, 18:00;2018/2019;zasadnicza;10
3;2;3;;;11;12;1;3;0,33;0;0;0;0;-;0;-;31;3;4;9;29%;1;0,33;6 Aleksandra RasiÒska ;#VolleyWroc≥aw;15.12.2018Chemik Police-3:0-#VolleyWroc≥aw;15.12.2018, 18:00;2018/2019;zasadnicza;10
*;*;6;;;0;2;0;1;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;7 Weronika Wo≥odko ;#VolleyWroc≥aw;15.12.2018Chemik Police-3:0-#VolleyWroc≥aw;15.12.2018, 18:00;2018/2019;zasadnicza;10
5;4;5;;;8;7;1;2;0,33;2;0;1;1;50%;0;0%;11;0;2;4;36%;3;1,00;8 Magdalena Soter ;#VolleyWroc≥aw;15.12.2018Chemik Police-3:0-#VolleyWroc≥aw;15.12.2018, 18:00;2018/2019;zasadnicza;10
1;6;1;;;6;10;1;0;0,33;28;4;8;9;32%;6;21%;17;1;1;5;29%;0;0,00;9 Natalia Murek ;#VolleyWroc≥aw;15.12.2018Chemik Police-3:0-#VolleyWroc≥aw;15.12.2018, 18:00;2018/2019;zasadnicza;10
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;12 Magdalena Dzikowicz (L);#VolleyWroc≥aw;15.12.2018Chemik Police-3:0-#VolleyWroc≥aw;15.12.2018, 18:00;2018/2019;zasadnicza;10
6;5;;;;0;4;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;13 Natalia Gajewska ;#VolleyWroc≥aw;15.12.2018Chemik Police-3:0-#VolleyWroc≥aw;15.12.2018, 18:00;2018/2019;zasadnicza;10
*;*;*;;;0;0;0;0;0,00;8;0;7;0;0%;0;0%;0;0;0;0;0%;0;0,00;15 Karolina Pancewicz (L);#VolleyWroc≥aw;15.12.2018Chemik Police-3:0-#VolleyWroc≥aw;15.12.2018, 18:00;2018/2019;zasadnicza;10
2;1;2;;;2;14;1;0;0,33;0;0;0;0;-;0;-;5;0;1;1;20%;0;0,00;17 Anna £ozowska ;#VolleyWroc≥aw;15.12.2018Chemik Police-3:0-#VolleyWroc≥aw;15.12.2018, 18:00;2018/2019;zasadnicza;10
6;5;4;;;2;9;1;2;0,33;0;0;0;0;-;0;-;2;1;0;1;50%;0;0,00;1 Valerie Nichol ;£KS Commercecon £Ûdü;15.12.2018£KS Commercecon £Ûdü-3:0-KSZO Ostrowiec;15.12.2018, 20:00;2018/2019;zasadnicza;10
5;4;3;;;5;7;0;2;0,00;1;0;1;0;0%;0;0%;11;0;1;4;36%;1;0,33;2 Ewa Kwiatkowska ;£KS Commercecon £Ûdü;15.12.2018£KS Commercecon £Ûdü-3:0-KSZO Ostrowiec;15.12.2018, 20:00;2018/2019;zasadnicza;10
1;6;;;;12;9;0;2;0,00;20;1;5;7;35%;4;20%;22;3;2;12;55%;0;0,00;5 Regiane Bidias ;£KS Commercecon £Ûdü;15.12.2018£KS Commercecon £Ûdü-3:0-KSZO Ostrowiec;15.12.2018, 20:00;2018/2019;zasadnicza;10
;;2;;;4;3;0;1;0,00;7;1;5;1;14%;1;14%;10;0;0;4;40%;0;0,00;6 Aleksandra WÛjcik ;£KS Commercecon £Ûdü;15.12.2018£KS Commercecon £Ûdü-3:0-KSZO Ostrowiec;15.12.2018, 20:00;2018/2019;zasadnicza;10
4;3;5;;;9;13;1;1;0,33;17;0;6;7;41%;4;24%;21;1;1;8;38%;0;0,00;7 Daria Szczyrba ;£KS Commercecon £Ûdü;15.12.2018£KS Commercecon £Ûdü-3:0-KSZO Ostrowiec;15.12.2018, 20:00;2018/2019;zasadnicza;10
;*;;;;2;0;0;0;0,00;0;0;0;0;-;0;-;5;1;0;2;40%;0;0,00;8 Agata WawrzyÒczyk ;£KS Commercecon £Ûdü;15.12.2018£KS Commercecon £Ûdü-3:0-KSZO Ostrowiec;15.12.2018, 20:00;2018/2019;zasadnicza;10
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;10 Klaudia Gajewska ;£KS Commercecon £Ûdü;15.12.2018£KS Commercecon £Ûdü-3:0-KSZO Ostrowiec;15.12.2018, 20:00;2018/2019;zasadnicza;10
*;*;*;;;0;0;0;0;0,00;15;0;3;11;73%;9;60%;0;0;0;0;0%;0;0,00;11 Anna Korabiec (L);£KS Commercecon £Ûdü;15.12.2018£KS Commercecon £Ûdü-3:0-KSZO Ostrowiec;15.12.2018, 20:00;2018/2019;zasadnicza;10
3;2;1;;;11;16;2;2;0,67;0;0;0;0;-;0;-;25;2;2;9;36%;0;0,00;12 Monika Ga≥kowska ;£KS Commercecon £Ûdü;15.12.2018£KS Commercecon £Ûdü-3:0-KSZO Ostrowiec;15.12.2018, 20:00;2018/2019;zasadnicza;10
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;13 Krystyna Strasz (L);£KS Commercecon £Ûdü;15.12.2018£KS Commercecon £Ûdü-3:0-KSZO Ostrowiec;15.12.2018, 20:00;2018/2019;zasadnicza;10
2;1;6;;;7;10;1;0;0,33;0;0;0;0;-;0;-;8;1;0;4;50%;2;0,67;15 Klaudia Alagierska-Szczepaniak ;£KS Commercecon £Ûdü;15.12.2018£KS Commercecon £Ûdü-3:0-KSZO Ostrowiec;15.12.2018, 20:00;2018/2019;zasadnicza;10
;*;*;;;0;2;0;1;0,00;0;0;0;0;-;0;-;2;0;0;0;0%;0;0,00;16 Zuzanna Efimienko-M≥otkowska ;£KS Commercecon £Ûdü;15.12.2018£KS Commercecon £Ûdü-3:0-KSZO Ostrowiec;15.12.2018, 20:00;2018/2019;zasadnicza;10
;*;;;;0;5;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;17 Marta WÛjcik ;£KS Commercecon £Ûdü;15.12.2018£KS Commercecon £Ûdü-3:0-KSZO Ostrowiec;15.12.2018, 20:00;2018/2019;zasadnicza;10
*;*;*;;;0;0;0;0;0,00;17;0;7;10;59%;5;29%;0;0;0;0;0%;0;0,00;1 Zuzanna KuciÒska (L);KSZO Ostrowiec;15.12.2018£KS Commercecon £Ûdü-3:0-KSZO Ostrowiec;15.12.2018, 20:00;2018/2019;zasadnicza;10
1;1;1;;;5;10;1;1;0,33;0;0;0;0;-;0;-;6;0;0;4;67%;0;0,00;2 Justyna Wojtowicz ;KSZO Ostrowiec;15.12.2018£KS Commercecon £Ûdü-3:0-KSZO Ostrowiec;15.12.2018, 20:00;2018/2019;zasadnicza;10
